"Date","CloseI"
"1993-07",2981.19995117188
"1993-08",3360.19995117188
"1993-09",3177.30004882812
"1993-10",3449.60009765625
"1993-11",3280.10009765625
"1993-12",3615.19995117188
"1994-01",3980.5
"1994-02",3739.69995117188
"1994-03",3489.10009765625
"1994-04",3520.69995117188
"1994-05",3512.60009765625
"1994-06",3200.69995117188
"1994-07",3364.19995117188
"1994-08",3337
"1994-09",3176.60009765625
"1994-10",3194.5
"1994-11",3287.10009765625
"1994-12",3087.69995117188
"1995-01",3040.10009765625
"1995-02",3024.5
"1995-03",2931.69995117188
"1995-04",3091.89990234375
"1995-05",3226.5
"1995-06",3219.10009765625
"1995-07",3373.39990234375
"1995-08",3432.80004882812
"1995-09",3376.80004882812
"1995-10",3277.30004882812
"1995-11",3510.10009765625
"1995-12",3630.80004882812
"1996-01",3734.5
"1996-02",3915.5
"1996-03",3857.10009765625
"1996-04",4082.89990234375
"1996-05",4111.7001953125
"1996-06",4264.10009765625
"1996-07",3979.39990234375
"1996-08",4025.5
"1996-09",4215.60009765625
"1996-10",4306.7001953125
"1996-11",4667.7998046875
"1996-12",5154.7998046875
"1997-01",5327.39990234375
"1997-02",5305.39990234375
"1997-03",5424.2998046875
"1997-04",5909.2998046875
"1997-05",6300.7998046875
"1997-06",6884.60009765625
"1997-07",6810.89990234375
"1997-08",6532.2998046875
"1997-09",7269.7001953125
"1997-10",6380.39990234375
"1997-11",6932.10009765625
"1997-12",7255.39990234375
"1998-01",7959
"1998-02",8900.099609375
"1998-03",10209.099609375
"1998-04",10025.599609375
"1998-05",10005.7001953125
"1998-06",10146.400390625
"1998-07",10493.7001953125
"1998-08",8264.7001953125
"1998-09",7676.5
"1998-10",8800
"1998-11",9645.5
"1998-12",9836.599609375
"1999-01",9878.7998046875
"1999-02",9997.2998046875
"1999-03",9740.7001953125
"1999-04",9975.400390625
"1999-05",10072.2998046875
"1999-06",10218.599609375
"1999-07",9391.900390625
"1999-08",9806.099609375
"1999-09",9525.400390625
"1999-10",9741.5
"1999-11",10958.099609375
"1999-12",11641.400390625
"2000-01",10835.099609375
"2000-02",12585.7998046875
"2000-03",11935
"2000-04",11467.900390625
"2000-05",10688.5
"2000-06",10581.2998046875
"2000-07",10531.599609375
"2000-08",10884.7001953125
"2000-09",10950
"2000-10",10363.099609375
"2000-11",9214.5
"2000-12",9109.7998046875
"2001-01",10116
"2001-02",9551.400390625
"2001-03",9308.2998046875
"2001-04",9761
"2001-05",9500.7001953125
"2001-06",8878.400390625
"2001-07",8480
"2001-08",8321.099609375
"2001-09",7314
"2001-10",7774.2998046875
"2001-11",8364.7001953125
"2001-12",8397.599609375
"2002-01",8050.39990234375
"2002-02",8135.5
"2002-03",8249.7001953125
"2002-04",8154.39990234375
"2002-05",7949.89990234375
"2002-06",6913
"2002-07",6249.2998046875
"2002-08",6435.7001953125
"2002-09",5431.7001953125
"2002-10",6139.39990234375
"2002-11",6685.60009765625
"2002-12",6036.89990234375
"2003-01",5947.7001953125
"2003-02",5999.39990234375
"2003-03",5870.5
"2003-04",6489.5
"2003-05",6508.5
"2003-06",6862
"2003-07",7061.7001953125
"2003-08",7111.2998046875
"2003-09",6703.60009765625
"2003-10",7129.5
"2003-11",7252.5
"2003-12",7737.2001953125
"2004-01",7929.89990234375
"2004-02",8249.400390625
"2004-03",8018.10009765625
"2004-04",8109.5
"2004-05",7959.2998046875
"2004-06",8078.2998046875
"2004-07",7919.2998046875
"2004-08",7869.5
"2004-09",8029.2001953125
"2004-10",8418.2998046875
"2004-11",8693
"2004-12",9080.7998046875
"2005-01",9223.900390625
"2005-02",9391
"2005-03",9258.7998046875
"2005-04",9001.599609375
"2005-05",9427.099609375
"2005-06",9783.2001953125
"2005-07",10115.599609375
"2005-08",10008.900390625
"2005-09",10813.900390625
"2005-10",10493.7998046875
"2005-11",10557.7998046875
"2005-12",10733.900390625
"2006-01",11104.2998046875
"2006-02",11740.7001953125
"2006-03",11854.2998046875
"2006-04",11892.5
"2006-05",11340.5
"2006-06",11548.099609375
"2006-07",11818
"2006-08",12144.7001953125
"2006-09",12934.7001953125
"2006-10",13753
"2006-11",13849.2998046875
"2006-12",14146.5
"2007-01",14553.2001953125
"2007-02",14248.400390625
"2007-03",14641.7001953125
"2007-04",14374.599609375
"2007-05",15329.400390625
"2007-06",14892
"2007-07",14802.400390625
"2007-08",14479.7998046875
"2007-09",14576.5
"2007-10",15890.5
"2007-11",15759.900390625
"2007-12",15182.2998046875
"2008-01",13229
"2008-02",13170.400390625
"2008-03",13269
"2008-04",13798.2998046875
"2008-05",13600.900390625
"2008-06",12046.2001953125
"2008-07",11881.2998046875
"2008-08",11707.2998046875
"2008-09",10987.5
"2008-10",9116
"2008-11",8910.599609375
"2008-12",9195.7998046875
"2009-01",8450.400390625
"2009-02",7620.89990234375
"2009-03",7815
"2009-04",9038
"2009-05",9424.2998046875
"2009-06",9787.7998046875
"2009-07",10855.099609375
"2009-08",11365.099609375
"2009-09",11756.099609375
"2009-10",11414.7998046875
"2009-11",11644.7001953125
"2009-12",11940
"2010-01",10947.7001953125
"2010-02",10333.599609375
"2010-03",10871.2998046875
"2010-04",10492.2001953125
"2010-05",9359.400390625
"2010-06",9263.400390625
"2010-07",10499.7998046875
"2010-08",10187
"2010-09",10514.5
"2010-10",10812.900390625
"2010-11",9267.2001953125
"2010-12",9859.099609375
"2011-01",10806
"2011-02",10850.7998046875
"2011-03",10576.5
"2011-04",10878.900390625
"2011-05",10476
"2011-06",10359.900390625
"2011-07",9630.7001953125
"2011-08",8718.599609375
"2011-09",8546.599609375
"2011-10",8954.900390625
"2011-11",8449.5
"2011-12",8566.2998046875
"2012-01",8509.2001953125
"2012-02",8465.900390625
"2012-03",8008
"2012-04",7011
"2012-05",6089.7998046875
"2012-06",7102.2001953125
"2012-07",6738.10009765625
"2012-08",7420.5
"2012-09",7708.5
"2012-10",7842.89990234375
"2012-11",7934.60009765625
"2012-12",8167.5
"2013-01",8362.2998046875
"2013-02",8230.2998046875
"2013-03",7920
"2013-04",8419
"2013-05",8320.599609375
"2013-06",7762.7001953125
"2013-07",8433.400390625
"2013-08",8290.5
"2013-09",9186.099609375
"2013-10",9907.900390625
"2013-11",9837.599609375
"2013-12",9916.7001953125
"2014-01",9920.2001953125
"2014-02",10114.2001953125
"2014-03",10340.5
"2014-04",10459
"2014-05",10798.7001953125
"2014-06",10923.5
"2014-07",10707.2001953125
"2014-08",10728.7998046875
"2014-09",10825.5
"2014-10",10477.7998046875
"2014-11",10770.7001953125
"2014-12",10279.5
"2015-01",10403.2998046875
"2015-02",11178.2998046875
"2015-03",11521.099609375
"2015-04",11385
"2015-05",11217.599609375
"2015-06",10769.5
"2015-07",11180.7001953125
"2015-08",10259
"2015-09",9559.900390625
"2015-10",10360.7001953125
"2015-11",10386.900390625
"2015-12",9544.2001953125
"2016-01",8815.7998046875
"2016-02",8461.400390625
"2016-03",8723.099609375
"2016-04",9025.7001953125
"2016-05",9034
"2016-06",8163.2998046875
"2016-07",8587.2001953125
"2016-08",8716.7998046875
"2016-09",8779.400390625
"2016-10",9143.2998046875
"2016-11",8688.2001953125
"2016-12",9352.099609375
"2017-01",9315.2001953125
"2017-02",9555.5
"2017-03",10462.900390625
"2017-04",10715.7998046875
"2017-05",10880
"2017-06",10444.5
"2017-07",10502.2001953125
"2017-08",10299.5
"2017-09",10381.5
"2017-10",10523.5
"2017-11",10211
"2017-12",10043.900390625
"2018-01",10451.5
"2018-02",9840.2998046875
"2018-03",9600.400390625
"2018-04",9980.599609375
"2018-05",9465.5
"2018-06",9622.7001953125
"2018-07",9870.7001953125
"2018-08",9399.099609375
"2018-09",9389.2001953125
"2018-10",8893.5
"2018-11",9077.2001953125
"2018-12",8539.900390625
"2019-01",9056.7001953125
"2019-02",9277.7001953125
"2019-03",9240.2998046875
"2019-04",9570.599609375
"2019-05",9004.2001953125
"2019-06",9198.7998046875
"2019-07",8971
"2019-08",8812.900390625
"2019-09",9244.599609375
"2019-10",9257.5
"2019-11",9352
"2019-12",9549.2001953125
"2020-01",9367.900390625
"2020-02",8723.2001953125
"2020-03",6785.39990234375
"2020-04",6922.2998046875
"2020-05",7096.5
"2020-06",7231.39990234375
"2020-07",6877.39990234375
"2020-08",6969.5
"2020-09",6716.60009765625
"2020-10",6452.2001953125
"2020-11",8076.89990234375
"2020-12",8073.7001953125
"2021-01",7757.5
"2021-02",8225
"2021-03",8580
"2021-04",8815
"2021-05",9148.900390625
"2021-06",8821.2001953125
"2021-07",8675.7001953125
"2021-08",8846.599609375
"2021-09",8796.2998046875
"2021-10",9057.7001953125
"2021-11",8305.099609375
"2021-12",8713.7998046875
"2022-01",8612.7998046875
"2022-02",8479.2001953125
"2022-03",8445.099609375
"2022-04",8584.2001953125
"2022-05",8851.5
"2022-06",8098.7001953125
"2022-07",8156.2001953125
"2022-08",7886.10009765625
"2022-09",7366.7998046875
"2022-10",7956.5
"2022-11",8363.2001953125
"2022-12",8229.099609375
"2023-01",9034
"2023-02",9314.2998046875
